,Sigla,Município,Quantidade Notebook,Número de Matrículas do Ensino Fundamental
1483,AC,Assis Brasil,0.0,59.0
76834,AL,Matriz de Camaragibe,0.0,326.0
4921,AM,Humaitá,0.0,19.0
22972,AP,Tartarugalzinho,1.0,17.0
83630,BA,Camamu,1.0,43.0
94993,BA,Salvador,0.0,308.0
87266,BA,Ibicaraí,1.0,113.0
94313,BA,Riachão das Neves,0.0,121.0
46117,CE,Cascavel,2.0,138.0
48640,CE,Groaíras,0.0,0.0
215505,DF,Brasília,0.0,0.0
125291,ES,Colatina,26.0,395.0
210425,GO,Cidade Ocidental,0.0,0.0
37169,MA,São Mateus do Maranhão,0.0,94.0
28247,MA,Carolina,0.0,34.0
29938,MA,Godofredo Viana,0.0,0.0
117336,MG,Patrocínio do Muriaé,0.0,0.0
124007,MG,Vespasiano,0.0,146.0
118757,MG,Riachinho,0.0,5.0
114031,MG,Lontra,1.0,0.0
205502,MS,Naviraí,3.0,0.0
207522,MT,Lucas do Rio Verde,2.0,8.0
21914,PA,Viseu,0.0,14.0
18668,PA,Peixe-Boi,0.0,233.0
60400,PB,Cacimba de Areia,0.0,0.0
72834,PE,Recife,0.0,0.0
68057,PE,Gravatá,0.0,12.0
42171,PI,Parnaíba,0.0,130.0
180935,PR,Londrina,0.0,0.0
179147,PR,Fernandes Pinheiro,36.0,159.0
134130,RJ,Petrópolis,1.0,4.0
130456,RJ,Duque de Caxias,1.0,491.0
139600,RJ,São Gonçalo,0.0,64.0
57370,RN,Natal,1.0,123.0
114,RO,Cacoal,0.0,460.0
9338,RR,Alto Alegre,0.0,0.0
198734,RS,Paulo Bento,2.0,104.0
193350,RS,Barão do Triunfo,5.0,67.0
188705,SC,Itajaí,0.0,100.0
79755,SE,Nossa Senhora das Dores,1.0,0.0
156556,SP,Osasco,0.0,0.0
148402,SP,Franca,30.0,44.0
160265,SP,Rio Claro,2.0,194.0
154620,SP,Marília,45.0,203.0
175009,SP,Vera Cruz,0.0,194.0
149388,SP,Guarujá,0.0,0.0
146532,SP,Catiguá,28.0,303.0
144141,SP,Boituva,32.0,576.0
24691,TO,Praia Norte,0.0,37.0
